CustomerID,FirstName,LastName,LoyaltyPoints,Email,JoinDate
1,First_1,Last_1,410,customer_1@example.com,2021-01-31
2,First_2,Last_2,102,customer_2@example.com,2022-03-19
3,First_3,Last_3,89,customer_3@example.com,2020-12-15
4,First_4,Last_4,60,customer_4@example.com,2023-09-24
5,First_5,Last_5,400,customer_5@example.com,2023-03-28
6,First_6,Last_6,88,customer_6@example.com,2020-11-01
7,First_7,Last_7,56,customer_7@example.com,2020-07-31
8,First_8,Last_8,31,customer_8@example.com,2020-01-21
9,First_9,Last_9,333,customer_9@example.com,2021-12-20
10,First_10,Last_10,216,customer_10@example.com,2023-04-04
11,First_11,Last_11,230,customer_11@example.com,2023-01-15
12,First_12,Last_12,357,customer_12@example.com,2019-09-10
13,First_13,Last_13,284,customer_13@example.com,2020-07-07
14,First_14,Last_14,190,customer_14@example.com,2022-06-24
15,First_15,Last_15,332,customer_15@example.com,2021-01-29
16,First_16,Last_16,193,customer_16@example.com,2022-09-20
17,First_17,Last_17,428,customer_17@example.com,2019-12-05
18,First_18,Last_18,431,customer_18@example.com,2020-08-05
19,First_19,Last_19,279,customer_19@example.com,2020-08-15
20,First_20,Last_20,447,customer_20@example.com,2020-02-15
21,First_21,Last_21,460,customer_21@example.com,2020-12-23
22,First_22,Last_22,163,customer_22@example.com,2023-01-09
23,First_23,Last_23,308,customer_23@example.com,2022-12-20
24,First_24,Last_24,492,customer_24@example.com,2019-10-03
25,First_25,Last_25,322,customer_25@example.com,2023-08-03
26,First_26,Last_26,231,customer_26@example.com,2023-05-18
27,First_27,Last_27,199,customer_27@example.com,2021-10-22
28,First_28,Last_28,306,customer_28@example.com,2021-07-19
29,First_29,Last_29,389,customer_29@example.com,2019-09-16
30,First_30,Last_30,410,customer_30@example.com,2019-12-15
31,First_31,Last_31,90,customer_31@example.com,2023-09-29
32,First_32,Last_32,334,customer_32@example.com,2021-05-25
33,First_33,Last_33,10,customer_33@example.com,2019-07-25
34,First_34,Last_34,281,customer_34@example.com,2023-09-12
35,First_35,Last_35,294,customer_35@example.com,2021-07-01
36,First_36,Last_36,202,customer_36@example.com,2022-02-26
37,First_37,Last_37,425,customer_37@example.com,2022-06-06
38,First_38,Last_38,241,customer_38@example.com,2023-07-02
39,First_39,Last_39,272,customer_39@example.com,2022-06-19
40,First_40,Last_40,115,customer_40@example.com,2020-10-06
41,First_41,Last_41,234,customer_41@example.com,2022-02-12
42,First_42,Last_42,488,customer_42@example.com,2020-06-26
43,First_43,Last_43,300,customer_43@example.com,2022-07-30
44,First_44,Last_44,245,customer_44@example.com,2022-09-10
45,First_45,Last_45,97,customer_45@example.com,2020-11-07
46,First_46,Last_46,247,customer_46@example.com,2020-12-04
47,First_47,Last_47,320,customer_47@example.com,2022-12-01
48,First_48,Last_48,251,customer_48@example.com,2020-07-28
49,First_49,Last_49,134,customer_49@example.com,2020-07-18
50,First_50,Last_50,192,customer_50@example.com,2021-08-17
51,First_51,Last_51,275,customer_51@example.com,2021-04-29
52,First_52,Last_52,83,customer_52@example.com,2022-11-15
53,First_53,Last_53,63,customer_53@example.com,2022-12-07
54,First_54,Last_54,413,customer_54@example.com,2021-08-14
55,First_55,Last_55,270,customer_55@example.com,2023-11-25
56,First_56,Last_56,142,customer_56@example.com,2021-01-13
57,First_57,Last_57,402,customer_57@example.com,2023-05-02
58,First_58,Last_58,243,customer_58@example.com,2021-01-13
59,First_59,Last_59,160,customer_59@example.com,2020-08-05
60,First_60,Last_60,354,customer_60@example.com,2021-05-12
61,First_61,Last_61,217,customer_61@example.com,2022-02-08
62,First_62,Last_62,443,customer_62@example.com,2021-07-09
63,First_63,Last_63,150,customer_63@example.com,2023-09-06
64,First_64,Last_64,255,customer_64@example.com,2023-11-11
65,First_65,Last_65,416,customer_65@example.com,2019-05-18
66,First_66,Last_66,308,customer_66@example.com,2021-04-01
67,First_67,Last_67,278,customer_67@example.com,2022-02-12
68,First_68,Last_68,18,customer_68@example.com,2021-08-30
69,First_69,Last_69,250,customer_69@example.com,2022-02-02
70,First_70,Last_70,459,customer_70@example.com,2021-07-22
71,First_71,Last_71,275,customer_71@example.com,2023-02-20
72,First_72,Last_72,203,customer_72@example.com,2022-05-01
73,First_73,Last_73,383,customer_73@example.com,2023-07-25
74,First_74,Last_74,132,customer_74@example.com,2022-11-08
75,First_75,Last_75,489,customer_75@example.com,2019-05-18
76,First_76,Last_76,338,customer_76@example.com,2019-05-14
77,First_77,Last_77,289,customer_77@example.com,2022-02-18
78,First_78,Last_78,391,customer_78@example.com,2021-02-08
79,First_79,Last_79,33,customer_79@example.com,2020-02-13
80,First_80,Last_80,117,customer_80@example.com,2023-08-21
81,First_81,Last_81,97,customer_81@example.com,2019-05-17
82,First_82,Last_82,67,customer_82@example.com,2022-10-19
83,First_83,Last_83,174,customer_83@example.com,2023-01-17
84,First_84,Last_84,179,customer_84@example.com,2019-11-22
85,First_85,Last_85,446,customer_85@example.com,2020-12-04
86,First_86,Last_86,53,customer_86@example.com,2019-05-14
87,First_87,Last_87,56,customer_87@example.com,2019-08-12
88,First_88,Last_88,448,customer_88@example.com,2021-05-23
89,First_89,Last_89,40,customer_89@example.com,2020-12-18
90,First_90,Last_90,152,customer_90@example.com,2023-12-18
91,First_91,Last_91,276,customer_91@example.com,2023-10-01
92,First_92,Last_92,336,customer_92@example.com,2021-03-30
93,First_93,Last_93,473,customer_93@example.com,2023-07-03
94,First_94,Last_94,106,customer_94@example.com,2023-08-21
95,First_95,Last_95,494,customer_95@example.com,2023-02-27
96,First_96,Last_96,445,customer_96@example.com,2020-08-11
97,First_97,Last_97,9,customer_97@example.com,2022-08-20
98,First_98,Last_98,388,customer_98@example.com,2020-04-07
99,First_99,Last_99,493,customer_99@example.com,2021-10-15
100,First_100,Last_100,455,customer_100@example.com,2022-07-28
101,First_101,Last_101,48,customer_101@example.com,2023-08-07
102,First_102,Last_102,158,customer_102@example.com,2019-11-04
103,First_103,Last_103,255,customer_103@example.com,2021-03-19
104,First_104,Last_104,164,customer_104@example.com,2020-08-13
105,First_105,Last_105,153,customer_105@example.com,2021-12-27
106,First_106,Last_106,115,customer_106@example.com,2021-11-03
107,First_107,Last_107,310,customer_107@example.com,2023-03-31
108,First_108,Last_108,16,customer_108@example.com,2020-07-11
